"Period",0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years,0 Years
"Period",Expectation of life at age (Total) (Years),Expectation of life at age (Male) (Years),Expectation of life at age (Female) (Years),Probability of dying (Total),Probability of dying (Male),Probability of dying (Female),Number of people left alive at age (Total),Number of people left alive at age (Male),Number of people left alive at age (Female),Person-years lived between ages (Total),Person-years lived between ages (Male),Person-years lived between ages (Female),Person-years lived above age (Total),Person-years lived above age (Male),Person-years lived above age (Female),Number of people dying (Total),Number of people dying (Male),Number of people dying (Female)
"1970",62.3,58.7,65.8,0.04152,0.04189,0.04106,100000,100000,100000,96546,96493,96605,6227305,5874203,6580977,4152,4189,4106
"1971",62.7,59.1,66.3,0.04038,0.04075,0.03993,100000,100000,100000,96627,96575,96685,6269237,5906950,6632071,4038,4075,3993
"1972",63.1,59.4,66.8,0.03928,0.03964,0.03883,100000,100000,100000,96707,96656,96763,6309909,5938884,6681454,3928,3964,3883
"1973",63.5,59.7,67.3,0.03820,0.03856,0.03776,100000,100000,100000,96785,96735,96840,6349366,5970024,6729204,3820,3856,3776
"1974",63.9,60.0,67.8,0.03715,0.03751,0.03672,100000,100000,100000,96861,96813,96916,6387659,6000398,6775395,3715,3751,3672
"1975",64.2,60.3,68.2,0.03614,0.03649,0.03571,100000,100000,100000,96937,96889,96990,6424838,6030031,6820097,3614,3649,3571
"1976",64.6,60.6,68.6,0.03515,0.03550,0.03473,100000,100000,100000,97010,96963,97063,6460943,6058940,6863377,3515,3550,3473
"1977",65.0,60.9,69.1,0.03418,0.03453,0.03377,100000,100000,100000,97083,97036,97134,6496018,6087145,6905300,3418,3453,3377
"1978",65.3,61.1,69.5,0.03325,0.03359,0.03284,100000,100000,100000,97153,97108,97203,6530103,6114666,6945928,3325,3359,3284
"1979",65.6,61.4,69.9,0.03234,0.03268,0.03194,100000,100000,100000,97223,97178,97272,6563236,6141522,6985319,3234,3268,3194
"1980",66.1,61.9,70.4,0.03020,0.03045,0.02990,100000,100000,100000,97388,97351,97428,6614746,6188815,7040994,3020,3045,2990
"1981",66.7,62.4,70.9,0.02820,0.02838,0.02798,100000,100000,100000,97544,97514,97576,6666415,6238865,7094233,2820,2838,2798
"1982",67.2,62.9,71.5,0.02633,0.02644,0.02619,100000,100000,100000,97692,97669,97718,6716740,6288523,7145180,2633,2644,2619
"1983",67.7,63.4,71.9,0.02459,0.02464,0.02452,100000,100000,100000,97832,97815,97851,6765403,6337015,7193972,2459,2464,2452
"1984",68.3,64.0,72.6,0.02191,0.02224,0.02152,100000,100000,100000,98052,98013,98095,6830106,6399635,7260937,2191,2224,2152
"1985",68.9,64.6,73.2,0.01951,0.02007,0.01889,100000,100000,100000,98251,98194,98312,6891016,6459724,7322757,1951,2007,1889
"1986",69.5,65.3,73.8,0.01770,0.01824,0.01710,100000,100000,100000,98404,98349,98464,6953312,6526633,7380452,1770,1824,1710
"1987",70.1,65.9,74.3,0.01606,0.01658,0.01547,100000,100000,100000,98544,98492,98602,7012731,6591108,7434820,1606,1658,1547
"1988",70.7,66.5,74.8,0.01482,0.01540,0.01418,100000,100000,100000,98651,98596,98714,7065048,6646193,7484439,1482,1540,1418
"1989",71.2,67.0,75.3,0.01369,0.01430,0.01299,100000,100000,100000,98749,98693,98816,7115583,6700339,7531410,1369,1430,1299
