"국가별",1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020
"국가별",총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율,총인구,연간 인구증가율
"아프가니스탄",12412311.000 (Persons),4.477 (annual %),13299016.000 (Persons),6.900 (annual %),14485543.000 (Persons),8.546 (annual %),15816601.000 (Persons),8.791 (annual %),17075728.000 (Persons),7.660 (annual %),18110662.000 (Persons),5.884 (annual %),18853444.000 (Persons),4.019 (annual %),19357126.000 (Persons),2.637 (annual %),19737770.000 (Persons),1.947 (annual %),20170847.000 (Persons),2.170 (annual %),20779957.000 (Persons),2.975 (annual %),21606992.000 (Persons),3.903 (annual %),22600774.000 (Persons),4.497 (annual %),23680871.000 (Persons),4.668 (annual %),24726689.000 (Persons),4.322 (annual %),25654274.000 (Persons),3.683 (annual %),26433058.000 (Persons),2.991 (annual %),27100542.000 (Persons),2.494 (annual %),27722281.000 (Persons),2.268 (annual %),28394806.000 (Persons),2.397 (annual %),29185511.000 (Persons),2.747 (annual %),30117411.000 (Persons),3.143 (annual %),31161378.000 (Persons),3.408 (annual %),32269592.000 (Persons),3.495 (annual %),33370804.000 (Persons),3.356 (annual %),34413603.000 (Persons),3.077 (annual %),35383028.000 (Persons),2.778 (annual %),36296111.000 (Persons),2.548 (annual %),37171922.000 (Persons),2.384 (annual %),38041757.000 (Persons),2.313 (annual %),38928341.000 (Persons),2.304 (annual %)
"알바니아",3286542.000 (Persons),1.799 (annual %),3266790.000 (Persons),-0.603 (annual %),3247039.000 (Persons),-0.606 (annual %),3227287.000 (Persons),-0.610 (annual %),3207536.000 (Persons),-0.614 (annual %),3187784.000 (Persons),-0.618 (annual %),3168033.000 (Persons),-0.622 (annual %),3148281.000 (Persons),-0.625 (annual %),3128530.000 (Persons),-0.629 (annual %),3108778.000 (Persons),-0.633 (annual %),3089027.000 (Persons),-0.637 (annual %),3060173.000 (Persons),-0.938 (annual %),3051010.000 (Persons),-0.300 (annual %),3039616.000 (Persons),-0.374 (annual %),3026939.000 (Persons),-0.418 (annual %),3011487.000 (Persons),-0.512 (annual %),2992547.000 (Persons),-0.631 (annual %),2970017.000 (Persons),-0.756 (annual %),2947314.000 (Persons),-0.767 (annual %),2927519.000 (Persons),-0.674 (annual %),2913021.000 (Persons),-0.496 (annual %),2905195.000 (Persons),-0.269 (annual %),2900401.000 (Persons),-0.165 (annual %),2895092.000 (Persons),-0.183 (annual %),2889104.000 (Persons),-0.207 (annual %),2880703.000 (Persons),-0.291 (annual %),2876101.000 (Persons),-0.160 (annual %),2873457.000 (Persons),-0.092 (annual %),2866376.000 (Persons),-0.247 (annual %),2854191.000 (Persons),-0.426 (annual %),2837743.000 (Persons),-0.578 (annual %)
"알제리",25758872.000 (Persons),2.566 (annual %),26400468.000 (Persons),2.460 (annual %),27028330.000 (Persons),2.350 (annual %),27635517.000 (Persons),2.222 (annual %),28213777.000 (Persons),2.071 (annual %),28757788.000 (Persons),1.910 (annual %),29266415.000 (Persons),1.753 (annual %),29742980.000 (Persons),1.615 (annual %),30192750.000 (Persons),1.501 (annual %),30623406.000 (Persons),1.416 (annual %),31042238.000 (Persons),1.358 (annual %),31451513.000 (Persons),1.310 (annual %),31855110.000 (Persons),1.275 (annual %),32264159.000 (Persons),1.276 (annual %),32692153.000 (Persons),1.318 (annual %),33149720.000 (Persons),1.390 (annual %),33641007.000 (Persons),1.471 (annual %),34166976.000 (Persons),1.551 (annual %),34730604.000 (Persons),1.636 (annual %),35333882.000 (Persons),1.722 (annual %),35977451.000 (Persons),1.805 (annual %),36661438.000 (Persons),1.883 (annual %),37383899.000 (Persons),1.951 (annual %),38140135.000 (Persons),2.003 (annual %),38923688.000 (Persons),2.034 (annual %),39728020.000 (Persons),2.045 (annual %),40551398.000 (Persons),2.051 (annual %),41389174.000 (Persons),2.045 (annual %),42228415.000 (Persons),2.007 (annual %),43053054.000 (Persons),1.934 (annual %),43851043.000 (Persons),1.837 (annual %)
"미국령사모아",47351.000 (Persons),3.125 (annual %),48682.000 (Persons),2.772 (annual %),49900.000 (Persons),2.471 (annual %),51025.000 (Persons),2.229 (annual %),52099.000 (Persons),2.083 (annual %),53158.000 (Persons),2.012 (annual %),54209.000 (Persons),1.958 (annual %),55227.000 (Persons),1.861 (annual %),56180.000 (Persons),1.711 (annual %),57049.000 (Persons),1.535 (annual %),57816.000 (Persons),1.336 (annual %),58496.000 (Persons),1.169 (annual %),59077.000 (Persons),0.988 (annual %),59495.000 (Persons),0.705 (annual %),59684.000 (Persons),0.317 (annual %),59557.000 (Persons),-0.213 (annual %),59109.000 (Persons),-0.755 (annual %),58367.000 (Persons),-1.263 (annual %),57490.000 (Persons),-1.514 (annual %),56675.000 (Persons),-1.428 (annual %),56084.000 (Persons),-1.048 (annual %),55755.000 (Persons),-0.588 (annual %),55669.000 (Persons),-0.154 (annual %),55717.000 (Persons),0.086 (annual %),55791.000 (Persons),0.133 (annual %),55806.000 (Persons),0.027 (annual %),55739.000 (Persons),-0.120 (annual %),55617.000 (Persons),-0.219 (annual %),55461.000 (Persons),-0.281 (annual %),55312.000 (Persons),-0.269 (annual %),55197.000 (Persons),-0.208 (annual %)
"안도라",54508.000 (Persons),3.845 (annual %),56666.000 (Persons),3.883 (annual %),58882.000 (Persons),3.836 (annual %),60974.000 (Persons),3.491 (annual %),62676.000 (Persons),2.753 (annual %),63860.000 (Persons),1.871 (annual %),64363.000 (Persons),0.785 (annual %),64318.000 (Persons),-0.070 (annual %),64140.000 (Persons),-0.277 (annual %),64368.000 (Persons),0.355 (annual %),65390.000 (Persons),1.575 (annual %),67344.000 (Persons),2.944 (annual %),70048.000 (Persons),3.937 (annual %),73180.000 (Persons),4.374 (annual %),76250.000 (Persons),4.110 (annual %),78871.000 (Persons),3.380 (annual %),80995.000 (Persons),2.657 (annual %),82682.000 (Persons),2.061 (annual %),83860.000 (Persons),1.415 (annual %),84461.000 (Persons),0.714 (annual %),84454.000 (Persons),-0.008 (annual %),83748.000 (Persons),-0.839 (annual %),82427.000 (Persons),-1.590 (annual %),80770.000 (Persons),-2.031 (annual %),79213.000 (Persons),-1.947 (annual %),77993.000 (Persons),-1.552 (annual %),77295.000 (Persons),-0.899 (annual %),76997.000 (Persons),-0.386 (annual %),77008.000 (Persons),0.014 (annual %),77146.000 (Persons),0.179 (annual %),77265.000 (Persons),0.154 (annual %)
"앙골라",11848385.000 (Persons),3.378 (annual %),12248901.000 (Persons),3.324 (annual %),12657361.000 (Persons),3.280 (annual %),13075044.000 (Persons),3.247 (annual %),13503753.000 (Persons),3.226 (annual %),13945205.000 (Persons),3.217 (annual %),14400722.000 (Persons),3.214 (annual %),14871572.000 (Persons),3.217 (annual %),15359600.000 (Persons),3.229 (annual %),15866871.000 (Persons),3.249 (annual %),16395477.000 (Persons),3.277 (annual %),16945753.000 (Persons),3.301 (annual %),17519418.000 (Persons),3.329 (annual %),18121477.000 (Persons),3.379 (annual %),18758138.000 (Persons),3.453 (annual %),19433604.000 (Persons),3.538 (annual %),20149905.000 (Persons),3.620 (annual %),20905360.000 (Persons),3.681 (annual %),21695636.000 (Persons),3.711 (annual %),22514275.000 (Persons),3.704 (annual %),23356247.000 (Persons),3.671 (annual %),24220660.000 (Persons),3.634 (annual %),25107925.000 (Persons),3.598 (annual %),26015786.000 (Persons),3.552 (annual %),26941773.000 (Persons),3.497 (annual %),27884380.000 (Persons),3.439 (annual %),28842482.000 (Persons),3.378 (annual %),29816769.000 (Persons),3.322 (annual %),30809787.000 (Persons),3.276 (annual %),31825299.000 (Persons),3.243 (annual %),32866268.000 (Persons),3.219 (annual %)
"앤티가바부다",62533.000 (Persons),0.845 (annual %),63363.000 (Persons),1.319 (annual %),64459.000 (Persons),1.715 (annual %),65777.000 (Persons),2.024 (annual %),67201.000 (Persons),2.142 (annual %),68672.000 (Persons),2.165 (annual %),70176.000 (Persons),2.166 (annual %),71707.000 (Persons),2.158 (annual %),73219.000 (Persons),2.087 (annual %),74674.000 (Persons),1.968 (annual %),76007.000 (Persons),1.769 (annual %),77212.000 (Persons),1.573 (annual %),78298.000 (Persons),1.397 (annual %),79311.000 (Persons),1.285 (annual %),80347.000 (Persons),1.298 (annual %),81462.000 (Persons),1.378 (annual %),82715.000 (Persons),1.526 (annual %),84029.000 (Persons),1.576 (annual %),85394.000 (Persons),1.611 (annual %),86743.000 (Persons),1.567 (annual %),88030.000 (Persons),1.473 (annual %),89250.000 (Persons),1.376 (annual %),90407.000 (Persons),1.288 (annual %),91510.000 (Persons),1.213 (annual %),92562.000 (Persons),1.143 (annual %),93571.000 (Persons),1.084 (annual %),94520.000 (Persons),1.009 (annual %),95425.000 (Persons),0.953 (annual %),96282.000 (Persons),0.894 (annual %),97115.000 (Persons),0.861 (annual %),97928.000 (Persons),0.834 (annual %)
"아르헨티나",32618648.000 (Persons),1.453 (annual %),33079002.000 (Persons),1.401 (annual %),33529320.000 (Persons),1.352 (annual %),33970103.000 (Persons),1.306 (annual %),34402669.000 (Persons),1.265 (annual %),34828168.000 (Persons),1.229 (annual %),35246376.000 (Persons),1.194 (annual %),35657438.000 (Persons),1.160 (annual %),36063451.000 (Persons),1.132 (annual %),36467218.000 (Persons),1.113 (annual %),36870796.000 (Persons),1.101 (annual %),37275644.000 (Persons),1.092 (annual %),37681743.000 (Persons),1.084 (annual %),38087866.000 (Persons),1.072 (annual %),38491970.000 (Persons),1.055 (annual %),38892924.000 (Persons),1.036 (annual %),39289876.000 (Persons),1.015 (annual %),39684303.000 (Persons),0.999 (annual %),40080159.000 (Persons),0.993 (annual %),40482786.000 (Persons),1.000 (annual %),40788453.000 (Persons),0.752 (annual %),41261490.000 (Persons),1.153 (annual %),41733271.000 (Persons),1.137 (annual %),42202935.000 (Persons),1.119 (annual %),42669500.000 (Persons),1.099 (annual %),43131966.000 (Persons),1.078 (annual %),43590368.000 (Persons),1.057 (annual %),44044811.000 (Persons),1.037 (annual %),44494502.000 (Persons),1.016 (annual %),44938712.000 (Persons),0.993 (annual %),45376763.000 (Persons),0.970 (annual %)
