지역별(1),2012.06,2013.06,2014.06,2015.06,2016.06,2017.06,2018.06,2019.06,2020.06,2021.06
부산,5.2,5.6,7.1,9.6,12.7,15.6,14.4,12,11.2,19.3
대구,9.4,17.4,28.6,37,39.6,38.4,38.7,39.1,41.7,52.2
광주,11.6,13.9,15.6,21,25,26,27.1,27.8,27.7,32.7
대전,-2,1.9,5.2,6.3,8,9.2,10,10.8,17.2,32.3
울산,10.1,11.3,13,15.4,17.5,17,12,1.6,3.8,19.6
강원,11.6,12.7,14,15.8,17.9,19.9,19.8,15.4,13.5,18.9
충북,9.1,11.6,13.7,17.2,19.2,20.7,20.5,15.3,15,20.5
충남,8,12.6,17.6,20.7,21.2,19.8,17.7,15,15.5,23
전북,5.8,5,5.7,6,7.1,8.2,8.9,7.8,6.7,9.3
전남,4.5,5.1,4.9,5.3,6.8,8.2,9.6,10.5,11.1,13.2
경북,6.1,11.6,17,19.6,20.1,18.9,16.4,12.9,11.7,15.1
경남,5.9,8.4,11,13.4,14.6,14.4,9.4,4,2.6,7
제주,8.6,8.8,10.6,14.3,19.6,19.9,19.5,17,13.2,15
